State,County,D,G,L,N,O,R
23,23007,6612,1197,156,8833,NA,7477
23,23009,14112,1845,104,16112,NA,13607
23,23011,29976,4193,323,34374,NA,26978
23,23013,10329,1285,62,10587,NA,8639
23,23015,8276,1219,59,10185,NA,9082
23,23017,12047,2147,200,18552,NA,11980
23,23019,34128,4877,845,42277,NA,36300
23,23021,3231,532,37,4580,NA,4548
23,23023,9153,1234,153,10922,NA,8029
23,23025,10267,1585,79,13805,NA,11782
23,23027,9014,1720,93,11681,NA,8997
23,23029,6829,844,46,8869,NA,7507
23,23031,50025,5341,884,62748,NA,40223
24,24001,14588,121,253,6981,325,21315
24,24003,160939,833,2443,81015,1012,137540
24,24510,312016,1228,1387,46052,1565,32672
24,24005,311193,1426,2971,89576,4527,145041
24,24009,23812,148,409,12822,398,26411
24,24011,6913,24,118,3661,133,8945
24,24013,32750,253,789,23188,843,63717
24,24015,22713,151,415,14025,577,27991
24,24017,65338,145,439,17571,507,26528
24,24019,10354,27,109,2959,110,7977
24,24021,61823,427,1134,37209,285,67087
24,24023,4452,41,94,2412,153,12683
24,24025,64854,353,1204,33273,1161,76840
24,24027,104847,490,1179,45509,1910,57883
24,24029,6150,23,59,2007,116,4762
24,24031,390523,1651,2852,145263,4793,123149
24,24033,459756,961,1474,64609,12335,43443
24,24035,10917,82,221,6415,183,17625
24,24037,26107,129,501,14008,426,29675
24,24039,6152,16,42,1747,83,5155
24,24041,10110,44,140,4822,197,11764
24,24043,32598,248,637,18800,410,42618
24,24045,26521,146,371,10652,442,22658
24,24047,14522,82,225,6888,314,16442
25,25001,44340,211,NA,101340,1435,26431
25,25003,32673,227,NA,49200,703,7920
25,25005,118802,422,NA,202126,4676,38792
25,25007,5657,32,NA,7919,90,1427
25,25009,165423,525,NA,295242,5360,60044
25,25011,15646,141,NA,30467,561,4396
25,25013,116864,456,NA,156754,3704,39141
25,25015,40965,384,NA,58010,1225,9214
25,25017,368267,1299,NA,561681,9118,98981
25,25019,2649,20,NA,5097,66,1253
25,25021,156151,366,NA,264085,4483,52778
25,25023,94931,314,NA,208238,4429,47376
25,25025,242782,662,NA,192754,4349,30045
25,25027,144678,740,NA,314908,6819,66710
31,31001,5042,NA,174,3629,NA,10859
31,31003,865,NA,14,589,NA,3128
31,31005,37,NA,3,15,NA,288
31,31007,38,NA,7,76,NA,430
31,31009,43,NA,2,30,NA,318
31,31011,910,NA,12,412,NA,2480
31,31013,1844,NA,62,1389,NA,4375
31,31015,249,NA,4,159,NA,1087
31,31017,252,NA,10,211,NA,1683
31,31019,6501,NA,341,5545,NA,17262
31,31021,1440,NA,34,902,NA,2552
31,31023,1590,NA,20,909,NA,3121
31,31025,4642,NA,194,4078,NA,8609
31,31027,1570,NA,17,883,NA,3542
31,31029,374,NA,9,281,NA,1857
31,31031,566,NA,11,458,NA,3181
31,31033,1217,NA,59,1350,NA,4301
31,31035,841,NA,18,646,NA,2769
31,31037,2036,NA,24,710,NA,2362
31,31039,1242,NA,28,901,NA,3665
31,31041,1444,NA,58,1173,NA,5485
31,31043,4275,NA,93,2687,NA,3703
31,31045,1323,NA,50,1186,NA,3519
31,31047,3737,NA,120,2440,NA,7779
31,31049,175,NA,11,216,NA,1015
31,31051,952,NA,19,555,NA,2296
31,31053,6232,NA,182,4645,NA,11076
31,31055,133813,NA,3740,81072,NA,130997
31,31057,156,NA,1,159,NA,959
31,31059,1026,NA,18,650,NA,2411
31,31061,480,NA,10,368,NA,1430
31,31063,290,NA,11,264,NA,1297
31,31065,643,NA,21,526,NA,2305
31,31067,4111,NA,114,2788,NA,7264
31,31069,221,NA,6,143,NA,1094
31,31071,192,NA,3,118,NA,986
31,31073,244,NA,7,182,NA,1063
31,31075,45,NA,0,35,NA,422
31,31077,806,NA,2,152,NA,645
31,31079,9660,NA,271,6885,NA,16758
31,31081,1258,NA,51,952,NA,4405
31,31083,529,NA,11,348,NA,1590
31,31085,83,NA,2,82,NA,548
31,31087,350,NA,13,359,NA,1291
31,31089,1147,NA,23,729,NA,5212
31,31091,78,NA,3,37,NA,422
31,31093,1342,NA,26,647,NA,2481
31,31095,1339,NA,30,918,NA,2728
31,31097,806,NA,20,426,NA,1539
31,31099,907,NA,35,688,NA,2843
31,31101,1072,NA,46,1064,NA,4067
31,31103,76,NA,3,47,NA,527
31,31105,495,NA,12,545,NA,1943
31,31107,1621,NA,23,856,NA,3351
31,31109,68807,NA,2113,40755,NA,77955
31,31111,5935,NA,208,4280,NA,13803
31,31113,71,NA,1,69,NA,427
31,31115,80,NA,1,27,NA,423
31,31119,4901,NA,147,3912,NA,12642
31,31117,39,NA,3,24,NA,304
31,31121,1003,NA,30,722,NA,3274
31,31123,592,NA,26,523,NA,2175
31,31125,767,NA,9,340,NA,1282
31,31127,1252,NA,29,816,NA,2499
31,31129,836,NA,20,456,NA,1869
31,31131,2804,NA,77,2286,NA,5383
31,31133,499,NA,12,271,NA,1092
31,31135,326,NA,7,283,NA,1396
31,31137,1042,NA,38,844,NA,4361
31,31139,765,NA,20,800,NA,3343
31,31141,4910,NA,149,3042,NA,12193
31,31143,728,NA,15,483,NA,2317
31,31145,1239,NA,43,1341,NA,4673
31,31147,1757,NA,23,890,NA,3051
31,31149,124,NA,1,74,NA,833
31,31151,3324,NA,63,1448,NA,3127
31,31153,29769,NA,1346,27856,NA,50568
31,31155,3946,NA,112,2538,NA,8205
31,31157,6096,NA,206,4865,NA,13204
31,31159,2755,NA,69,2004,NA,6134
31,31161,676,NA,16,624,NA,2789
31,31163,832,NA,12,206,NA,999
31,31165,110,NA,8,108,NA,706
31,31167,755,NA,35,560,NA,2493
31,31169,868,NA,16,602,NA,2363
31,31171,46,NA,1,49,NA,413
