,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Stonington,New London,2,2710,152,2862,3918,238,4156,26,2,28,G IT L,5463,491,5954,12117,883,13000
Stratford,Fairfield,3,5777,204,5981,9741,454,10195,94,5,99,G IT L RF,14865,677,15542,30477,1340,31817
Suffield,Hartford,2,2405,95,2500,2196,96,2292,160,16,176,CFL G IT L,3514,255,3769,8275,462,8737
Thomaston,Litchfield,5,1156,29,1185,1257,45,1302,20,2,22,C G IT L,2450,87,2537,4883,163,5046
Thompson,Windham,2,976,15,991,1733,38,1771,4,0,4,C G L,2514,106,2620,5227,159,5386
Tolland,Tolland,2,2123,103,2226,2524,196,2720,80,3,83,G IT L WF,4512,517,5029,9239,819,10058
Torrington,Litchfield,"1,5",4495,131,4626,6230,194,6424,94,1,95,C G IT L,8282,336,8618,19101,662,19763
Trumbull,Fairfield,4,5997,158,6155,6170,195,6365,24,2,26,CFL G IT L,11698,391,12089,23889,746,24635
Union,Tolland,2,234,3,237,144,4,148,6,0,6,IT L,239,3,242,623,10,633
Vernon,Tolland,2,2810,129,2939,4753,352,5105,80,18,98,A CFL G I IT L,7662,565,8227,15305,1064,16369
Voluntown,New London,2,320,9,329,470,21,491,10,1,11,G IT L,752,35,787,1552,66,1618
Wallingford,New Haven,3,4497,353,4850,7224,624,7848,30,8,38,C CFL G IT L RF,13017,1794,14811,24768,2779,27547
Warren,Litchfield,5,321,0,321,221,0,221,1,0,1,IT,407,1,408,950,1,951
Washington,Litchfield,5,681,66,747,705,106,811,8,2,10,G WF,832,139,971,2226,313,2539
Waterbury,New Haven,"3,5",7090,220,7310,26780,902,27682,882,36,918,C CFL G I IT L RF WF,20630,782,21412,55382,1940,57322
Waterford,New London,2,2556,76,2632,3853,139,3992,40,1,41,G IT L,6226,283,6509,12675,499,13174
Watertown,Litchfield,5,3585,121,3706,3494,137,3631,94,3,97,C G IT L,6986,294,7280,14159,555,14714
West Hartford,Hartford,1,6803,181,6984,17315,506,17821,154,3,157,G IT L,13074,579,13653,37346,1269,38615
West Haven,New Haven,3,2739,300,3039,16157,1700,17857,63,5,68,C CFL G IT L WF,8716,1358,10074,27675,3363,31038
Westbrook,Middlesex,2,1128,81,1209,1023,89,1112,40,11,51,A CFL G IT L RF,1895,260,2155,4086,441,4527
Weston,Fairfield,4,1892,123,2015,2163,102,2265,16,2,18,G IT L,2299,174,2473,6370,401,6771
Westport,Fairfield,4,4782,197,4979,6217,237,6454,20,2,22,G I L,6156,335,6491,17175,771,17946
Wethersfield,Hartford,1,3453,100,3553,6818,199,7017,35,0,35,CFL G IT L WF,6674,240,6914,16980,539,17519
Willington,Tolland,2,772,31,803,1003,60,1063,37,2,39,G IT L SP,1620,118,1738,3432,211,3643
Wilton,Fairfield,4,4178,203,4381,2932,187,3119,20,0,20,IT L WF,3898,366,4264,11028,756,11784
Winchester,Litchfield,1,1431,42,1473,1840,81,1921,43,1,44,G W,3530,152,3682,6844,276,7120
Windham,Windham,2,1638,121,1759,5501,431,5932,164,14,178,CFL G IT L WF,5992,508,6500,13295,1074,14369
Windsor,Hartford,1,2792,165,2957,9184,384,9568,72,1,73,G IT L WF,7398,473,7871,19446,1023,20469
Windsor Locks,Hartford,1,1312,63,1375,2491,127,2618,21,1,22,C G IT L WF,3468,250,3718,7292,441,7733
Wolcott,New Haven,5,2683,46,2729,2661,50,2711,153,4,157,C CFL G IT L,5334,115,5449,10831,215,11046
Woodbridge,New Haven,3,1345,24,1369,2255,43,2298,20,0,20,G IT L,2835,107,2942,6455,174,6629
Woodbury,Litchfield,5,2379,73,2452,1542,71,1613,98,2,100,G IT L,2592,136,2728,6611,282,6893
Woodstock,Windham,2,1630,32,1662,1382,46,1428,68,6,74,G IT L,1981,92,2073,5061,176,5237
Statewide Totals,,,411866,19855,431721,736082,48198,784280,13531,993,14524,827983,62934,890917,1989462,131980,2121442,
